,precision,recall,f1-score,support
AnnualCrop,0.9682875264270613,0.9703389830508474,0.9693121693121693,472.0
Forest,0.990909090909091,0.9864253393665159,0.9886621315192744,442.0
HerbaceousVegetation,0.9738562091503268,0.9759825327510917,0.9749182115594329,458.0
Highway,0.9552238805970149,0.9820971867007673,0.9684741488020177,391.0
Industrial,0.9893048128342246,0.9788359788359788,0.9840425531914894,378.0
Pasture,0.9697986577181208,0.9665551839464883,0.9681742043551089,299.0
PermanentCrop,0.9782016348773842,0.9472295514511874,0.9624664879356568,379.0
Residential,0.9932735426008968,0.9844444444444445,0.9888392857142857,450.0
River,0.9708994708994709,0.9786666666666667,0.9747675962815405,375.0
SeaLake,0.9782082324455206,0.9950738916256158,0.9865689865689866,406.0
accuracy,0.977037037037037,0.977037037037037,0.977037037037037,0.977037037037037
macro avg,0.9767963058459113,0.9765649758839604,0.9766225775239963,4050.0
weighted avg,0.9771384166463812,0.977037037037037,0.977031961971077,4050.0
