,precision,recall,f1-score,support
AnnualCrop,0.9546436285097192,0.9364406779661016,0.9454545454545454,472.0
Forest,0.9976133651551312,0.9457013574660633,0.9709639953542393,442.0
HerbaceousVegetation,0.9482758620689655,0.9606986899563319,0.9544468546637744,458.0
Highway,0.9742268041237113,0.9667519181585678,0.9704749679075738,391.0
Industrial,0.9761273209549072,0.9735449735449735,0.9748344370860927,378.0
Pasture,0.8702064896755162,0.9866220735785953,0.9247648902821317,299.0
PermanentCrop,0.9342465753424658,0.899736147757256,0.9166666666666666,379.0
Residential,0.9821029082774049,0.9755555555555555,0.9788182831661093,450.0
River,0.9653333333333334,0.9653333333333334,0.9653333333333334,375.0
SeaLake,0.9733656174334141,0.9901477832512315,0.9816849816849816,406.0
accuracy,0.9592592592592593,0.9592592592592593,0.9592592592592593,0.9592592592592593
macro avg,0.9576141904874568,0.9600532510568011,0.9583442955599448,4050.0
weighted avg,0.9602839492559605,0.9592592592592593,0.9593713874956562,4050.0
