,precision,recall,f1-score,support
AnnualCrop,0.9156118143459916,0.9194915254237288,0.9175475687103594,472.0
Forest,0.9705882352941176,0.9705882352941176,0.9705882352941176,442.0
HerbaceousVegetation,0.927570093457944,0.8668122270742358,0.8961625282167043,458.0
Highway,0.8747152619589977,0.9820971867007673,0.9253012048192771,391.0
Industrial,0.9707446808510638,0.9656084656084656,0.9681697612732095,378.0
Pasture,0.9003115264797508,0.9665551839464883,0.932258064516129,299.0
PermanentCrop,0.8909574468085106,0.8839050131926122,0.8874172185430463,379.0
Residential,0.9776785714285714,0.9733333333333334,0.9755011135857461,450.0
River,0.9637462235649547,0.8506666666666667,0.9036827195467422,375.0
SeaLake,0.963855421686747,0.9852216748768473,0.97442143727162,406.0
accuracy,0.9358024691358025,0.9358024691358025,0.9358024691358025,0.9358024691358025
macro avg,0.935577927587665,0.9364279512117262,0.9351049851776951,4050.0
weighted avg,0.9369142091123758,0.9358024691358025,0.9355145043936246,4050.0
