epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1299.63,0.33238,1.72422,0.99963,0.78699,0.77885,0.8415,0.80034,0.31322,0.96145,0.55865,0.000237778,0.000237778,0.000237778
2,2468.63,0.23803,0.92075,0.95787,0.80117,0.73864,0.82134,0.79341,0.30516,1.15111,0.58978,0.000452227,0.000452227,0.000452227
3,3566.21,0.21702,0.81721,0.9496,0.78235,0.83171,0.877,0.84163,0.28092,0.8141,0.53345,0.000643114,0.000643114,0.000643114
4,4660.07,0.19604,0.75205,0.94677,0.83047,0.82038,0.88331,0.84888,0.27658,0.74415,0.67818,0.000607971,0.000607971,0.000607971
5,5769.13,0.18211,0.68724,0.94458,0.76933,0.82985,0.88287,0.83883,0.3139,1.26976,0.6973,0.000572628,0.000572628,0.000572628
6,6870.07,0.16911,0.64991,0.9419,0.89814,0.81562,0.89505,0.86366,0.24815,0.69718,0.68078,0.000537285,0.000537285,0.000537285
7,7948.75,0.15978,0.6111,0.94175,0.90034,0.89339,0.92412,0.88474,0.2878,0.51495,0.73779,0.000501942,0.000501942,0.000501942
8,9041.42,0.15345,0.58388,0.9418,0.90002,0.8821,0.9095,0.8721,0.25916,0.52195,0.90634,0.000466599,0.000466599,0.000466599
9,10130.8,0.14669,0.54838,0.9406,0.89682,0.86944,0.91373,0.8808,0.24094,0.54614,0.88033,0.000431256,0.000431256,0.000431256
10,11238.7,0.14155,0.5285,0.94068,0.90231,0.89827,0.92327,0.89054,0.21937,0.43677,0.99205,0.000395913,0.000395913,0.000395913
11,12325.4,0.14421,0.38124,0.98263,0.9179,0.89008,0.92644,0.89504,0.28212,0.44767,1.17113,0.00036057,0.00036057,0.00036057
12,13407,0.13338,0.32251,0.97577,0.92256,0.90882,0.93125,0.90068,0.25574,0.40318,1.15834,0.000325227,0.000325227,0.000325227
13,14488.3,0.12635,0.28586,0.9726,0.92037,0.90475,0.93295,0.90298,0.26798,0.40716,1.17979,0.000289884,0.000289884,0.000289884
14,15572.6,0.12259,0.2767,0.97076,0.92193,0.89712,0.92871,0.89569,0.31415,0.45255,1.22173,0.000254541,0.000254541,0.000254541
15,16644.6,0.11851,0.24964,0.96769,0.92737,0.90751,0.93554,0.89951,0.34347,0.47295,1.26597,0.000219198,0.000219198,0.000219198
16,17721.4,0.1156,0.2334,0.9656,0.93004,0.9124,0.93802,0.89868,0.33915,0.41668,1.24595,0.000183855,0.000183855,0.000183855
17,18790.5,0.10928,0.21849,0.96366,0.95095,0.90146,0.93874,0.90405,0.30485,0.44447,1.21849,0.000148512,0.000148512,0.000148512
18,19867.5,0.10637,0.19879,0.96216,0.94295,0.90699,0.93921,0.90463,0.32727,0.4435,1.26478,0.000113169,0.000113169,0.000113169
19,20945.6,0.10456,0.18722,0.95826,0.95456,0.90752,0.94189,0.90699,0.32197,0.44961,1.25709,7.7826e-05,7.7826e-05,7.7826e-05
20,22055.8,0.09936,0.17075,0.95399,0.95006,0.90583,0.93933,0.90243,0.31833,0.46665,1.25995,4.2483e-05,4.2483e-05,4.2483e-05
